Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
B.Tech,Computer Science,8.85,"SQL, Git, Java, JavaScript, Python","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Maybe,No,Data Scientist
MBA,Marketing,7.72,"Social Media Management, Digital Marketing, Google Analytics","Creativity, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Mechanical Engineering,8.59,"SolidWorks, MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,Computer Science,9.94,"Computer Vision, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Com,Commerce,8.21,"MS Excel, SQL, Tableau","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Computer Science,9.09,"SQL, Java, Git, Python, JavaScript","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I prefer working alone,Visual,Maybe,No,Software Developer
B.Tech,Data Science,9.21,"Scikit-learn, SQL, R, TensorFlow, Python","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Graphic Design,7.75,"Adobe Illustrator, Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Visual,No,No,UI/UX Designer
M.Tech,AI & ML,9.39,"PyTorch, Computer Vision, Python, TensorFlow, NLP","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Computer Science,8.7,"Java, JavaScript, SQL, Python, Git","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Tech,Mechanical Engineering,7.84,"SolidWorks, AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.53,"SQL, Java, JavaScript, Python","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Data Scientist
B.A.,Fine Arts,7.27,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,UI/UX Designer
MBA,Finance,9.06,"MS Excel, SQL, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
M.Tech,Computer Science,9.08,"Python, TensorFlow","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Graphic Design,8.83,"Figma, Adobe XD, User Research","Problem-Solving, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Des,Graphic Design,8.88,"Sketch, User Research","Empathy, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
BBA,Marketing,7.6,"Digital Marketing, Google Analytics, SEO, Social Media Management","Creativity, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
Diploma,Mechanical Engineering,8.37,"MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
BBA,Marketing,7.18,"SEO, Digital Marketing, Google Analytics","Leadership, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
MBA,Commerce,8.26,"Financial Modeling, SQL, MS Excel","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Com,Commerce,8.88,"Financial Modeling, MS Excel, Tableau","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
M.Tech,AI & ML,8.8,"NLP, TensorFlow, Computer Vision, Python, PyTorch","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Business Administration,8.24,"SEO, Social Media Management, Digital Marketing","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.A.,Graphic Design,8.15,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,UI/UX Designer
B.A.,Fine Arts,8.51,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
B.Tech,Computer Science,9.65,"TensorFlow, Scikit-learn, SQL, R","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Computer Science,9.39,"JavaScript, Git","Teamwork, Problem-Solving",Introvert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Yes,No,Software Developer
B.Des,Fine Arts,8.52,"Figma, Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Tech,Mechanical Engineering,8.75,"SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Com,Commerce,8.98,"Tableau, Financial Modeling","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Mechanical Engineering,7.71,"SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,8.85,"SQL, Git","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
M.Tech,Computer Science,9.53,"Python, Computer Vision, NLP, TensorFlow, PyTorch","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.75,"JavaScript, SQL, Java, Python","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Des,Graphic Design,8.36,"Figma, User Research, Adobe XD","Problem-Solving, Creativity",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
Diploma,Mechanical Engineering,8.7,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.Des,Fine Arts,8.34,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,Yes,Graphic Designer
B.Tech,Graphic Design,7.88,"Sketch, User Research","Creativity, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Computer Science,8.32,"Git, JavaScript, SQL, Java","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Maybe,No,Software Developer
B.Des,Fine Arts,8.56,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,8.58,"Scikit-learn, SQL, TensorFlow","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,AI Specialist
B.A.,Fine Arts,8.56,"Figma, Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,UI/UX Designer
B.Tech,Graphic Design,7.8,"Adobe XD, Sketch, Figma, User Research","Creativity, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
MBA,Commerce,9.17,"Financial Modeling, MS Excel, Tableau, SQL","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Tech,Computer Science,8.86,"Java, Git, SQL","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Software Developer
MBA,Business Administration,7.65,"Social Media Management, Google Analytics, Digital Marketing, SEO","Leadership, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Des,Fine Arts,7.37,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,Graphic Designer
M.Tech,AI & ML,8.82,"PyTorch, NLP, Python, Computer Vision, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,AI & ML,8.96,"PyTorch, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Business Administration,7.4,"SEO, Digital Marketing","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Computer Science,9.07,"SQL, JavaScript","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Computer Science,8.55,"Java, Python, JavaScript","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
M.Tech,Computer Science,9.43,"TensorFlow, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Com,Finance,8.67,"MS Excel, Tableau, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
Diploma,Mechanical Engineering,8.91,"SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Computer Science,8.88,"Java, Python, Git, JavaScript","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
MBA,Commerce,9.04,"MS Excel, SQL, Tableau, Financial Modeling","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,No,Yes,Business Analyst
M.Tech,Computer Science,9.54,"NLP, Computer Vision, Python, TensorFlow, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.33,"TensorFlow, SQL, R, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Commerce,8.86,"MS Excel, Tableau, SQL","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Data Science,8.53,"SQL, R, Scikit-learn, Python","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Marketing,7.84,"SEO, Google Analytics, Digital Marketing, Social Media Management","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.49,"Python, Java, SQL, JavaScript","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Tech,Data Science,9.46,"SQL, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Data Science,9.43,"R, Python, Scikit-learn","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Computer Science,8.84,"Python, Git","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Tech,Mechanical Engineering,7.97,"AutoCAD, SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
M.Tech,Computer Science,9.01,"R, Python, Scikit-learn","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.A.,Graphic Design,8.89,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,9.01,"Git, Java, Python","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Data Scientist
B.Tech,Computer Science,9.32,"SQL, Python","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Data Science,8.76,"Python, SQL, R","Problem-Solving, Critical Thinking",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
M.Tech,Computer Science,9.43,"Python, R","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
M.Tech,Computer Science,9.86,"TensorFlow, PyTorch, NLP, Python","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.A.,Graphic Design,7.41,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Visual,No,Yes,Graphic Designer
B.Des,Fine Arts,8.28,"Adobe Photoshop, Figma","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,No,Graphic Designer
B.Tech,Data Science,9.14,"Python, R, TensorFlow, Scikit-learn, SQL","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Des,Graphic Design,8.6,"Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,UI/UX Designer
B.Des,Graphic Design,8.11,"Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,9.12,"SQL, JavaScript, Git","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
B.Tech,Computer Science,9.64,"Java, JavaScript","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
B.A.,Graphic Design,7.6,"Adobe Illustrator, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
B.Com,Commerce,8.16,"MS Excel, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
Diploma,Mechanical Engineering,7.1,"SolidWorks, MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Des,Graphic Design,7.2,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Des,Fine Arts,7.26,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
MBA,Business Administration,8.67,"Digital Marketing, Social Media Management, Google Analytics","Creativity, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Tech,Graphic Design,8.63,"Figma, Adobe XD","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.13,"AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.A.,Fine Arts,8.82,"Adobe Photoshop, Adobe Illustrator, Figma","Attention to Detail, Creativity",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
BBA,Business Administration,7.47,"Social Media Management, Google Analytics, SEO","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Social Media Manager
B.Des,Graphic Design,7.66,"User Research, Figma, Sketch","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Mechanical Engineering,7.24,"AutoCAD, SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
